Date,BRL_spot_FX_rate,Date,Current_account,Date,Trade_balance,Date,Implied_rate,Date,REER,Date,MOV_AVG_200D,Date,MOV_AVG_50D
8/15/13,2.3407,,,,,10/22/13,9.1867,8/15/13,79.92,8/15/13,2.0816,8/15/13,2.2415
8/14/13,2.3249,,,,,10/21/13,9.2514,8/14/13,80.85,8/14/13,2.0801,8/14/13,2.2373
8/13/13,2.3144,,,,,10/18/13,9.2084,8/13/13,81.15,8/13/13,2.0786,8/13/13,2.2333
8/12/13,2.2878,,,,,10/17/13,8.871,8/12/13,82.05,8/12/13,2.0771,8/12/13,2.2295
8/9/13,2.2718,,,,,10/16/13,9.0748,8/9/13,82.02,8/9/13,2.0758,8/9/13,2.2263
8/8/13,2.2846,,,,,10/15/13,9.1374,8/8/13,81.61,8/8/13,2.0746,8/8/13,2.2236
8/7/13,2.3141,,,,,10/14/13,9.1673,8/7/13,81.12,8/7/13,2.0733,8/7/13,2.2202
8/6/13,2.2991,,,,,10/11/13,9.1609,8/6/13,81.52,8/6/13,2.0719,8/6/13,2.2154
8/5/13,2.306,,,,,10/10/13,8.9696,8/5/13,81.25,8/5/13,2.0705,8/5/13,2.2105
8/2/13,2.2874,,,,,10/9/13,8.8858,8/2/13,81.82,8/2/13,2.0692,8/2/13,2.2055
8/1/13,2.3042,,,,,10/8/13,9.1078,8/1/13,81.69,8/1/13,2.0679,8/1/13,2.2006
7/31/13,2.2766,,,,,10/7/13,9.0728,7/31/13,81.53,7/31/13,2.0666,7/31/13,2.1955
7/30/13,2.2825,,,,,10/4/13,9.124,7/30/13,82.24,7/30/13,2.0654,7/30/13,2.1908
7/29/13,2.2684,,,,,10/3/13,8.9031,7/29/13,82.55,7/29/13,2.0642,7/29/13,2.1859
7/26/13,2.2562,,,,,10/2/13,8.8874,7/26/13,82.91,7/26/13,2.063,7/26/13,2.1812
7/25/13,2.2427,,,,,10/1/13,8.8241,7/25/13,82.74,7/25/13,2.0619,7/25/13,2.1766
7/24/13,2.2505,,,,,9/30/13,8.7522,7/24/13,83.54,7/24/13,2.0608,7/24/13,2.1722
7/23/13,2.2139,,,,,9/27/13,8.5765,7/23/13,84.19,7/23/13,2.0596,7/23/13,2.1676
7/22/13,2.2331,,,,,9/26/13,8.6324,7/22/13,83.76,7/22/13,2.0587,7/22/13,2.1635
7/19/13,2.2471,,,,,9/25/13,8.6256,7/19/13,83.82,7/19/13,2.0576,7/19/13,2.1593
7/18/13,2.2276,,,,,9/24/13,8.5574,7/18/13,84.21,7/18/13,2.0565,7/18/13,2.1546
7/17/13,2.2261,,,,,9/23/13,8.3934,7/17/13,84,7/17/13,2.0556,7/17/13,2.1502
7/16/13,2.2538,,,,,9/20/13,8.3232,7/16/13,83.45,7/16/13,2.0546,7/16/13,2.1458
7/15/13,2.2201,,,,,9/19/13,8.2257,7/15/13,83.68,7/15/13,2.0535,7/15/13,2.1409
7/12/13,2.2672,,,,,9/18/13,8.5039,7/12/13,82.86,7/12/13,2.0525,7/12/13,2.1367
7/11/13,2.2556,,,,,9/17/13,8.4444,7/11/13,82.85,7/11/13,2.0513,7/11/13,2.1315
7/10/13,2.2645,,,,,9/16/13,8.3337,7/10/13,83.14,7/10/13,2.0501,7/10/13,2.1264
7/9/13,2.2601,,,,,9/13/13,8.2825,7/9/13,83.65,7/9/13,2.0489,7/9/13,2.1213
7/8/13,2.2636,,,,,9/12/13,8.2521,7/8/13,83.61,7/8/13,2.0477,7/8/13,2.1161
7/5/13,2.2524,,,,,9/11/13,8.453,7/5/13,83.68,7/5/13,2.0466,7/5/13,2.1108
7/4/13,2.2486,,,,,9/10/13,8.4899,7/3/13,83.33,7/4/13,2.0454,7/4/13,2.106
7/3/13,2.2688,,,,,9/9/13,8.4141,7/2/13,84.17,7/3/13,2.0442,7/3/13,2.1015
7/2/13,2.2547,,,,,9/6/13,8.3995,7/1/13,84.48,7/2/13,2.043,7/2/13,2.0965
7/1/13,2.229,,,,,9/5/13,8.2481,6/28/13,85.26,7/1/13,2.0418,7/1/13,2.0916
6/28/13,2.2317,,,,,9/4/13,8.5502,6/27/13,86.11,6/28/13,2.0408,6/28/13,2.0874
6/27/13,2.1989,,,,,9/3/13,8.5073,6/26/13,85.79,6/27/13,2.0398,6/27/13,2.0828
6/26/13,2.1867,,,,,9/2/13,8.7054,6/25/13,84.83,6/26/13,2.039,6/26/13,2.0786
6/25/13,2.2139,,,,,8/30/13,8.336,6/24/13,83.78,6/25/13,2.0383,6/25/13,2.0749
6/24/13,2.2268,,,,,8/29/13,8.4009,6/21/13,83.09,6/24/13,2.0374,6/24/13,2.07
6/21/13,2.2422,,,,,8/28/13,8.4192,6/20/13,83.24,6/21/13,2.0364,6/21/13,2.065
6/20/13,2.2575,,,,,8/27/13,8.3703,6/19/13,85.52,6/20/13,2.0354,6/20/13,2.0596
6/19/13,2.2247,,,,,8/26/13,7.9119,6/18/13,86.06,6/19/13,2.0344,6/19/13,2.054
6/18/13,2.1815,,,,,8/23/13,8.0779,6/17/13,86.14,6/18/13,2.0335,6/18/13,2.0494
6/17/13,2.1712,,,,,8/22/13,8.2048,6/14/13,86.84,6/17/13,2.0327,6/17/13,2.0455
6/14/13,2.1516,,,,,8/21/13,8.4165,6/13/13,86.75,6/14/13,2.032,6/14/13,2.0423
6/13/13,2.1212,,,,,8/20/13,8.3254,6/12/13,86.65,6/13/13,2.0314,6/13/13,2.0398
6/12/13,2.1564,,,,,8/19/13,7.9165,6/11/13,87.19,6/12/13,2.0308,6/12/13,2.0378
6/11/13,2.1326,,,,,8/16/13,8.3189,6/10/13,87.35,6/11/13,2.0301,6/11/13,2.035
6/10/13,2.1471,,,,,8/15/13,8.2617,6/7/13,87.35,6/10/13,2.0296,6/10/13,2.0328
6/7/13,2.1319,,,,,8/14/13,7.9291,6/6/13,87.83,6/7/13,2.0289,6/7/13,2.0301
6/6/13,2.1298,,,,,8/13/13,7.9557,6/5/13,88.07,6/6/13,2.0283,6/6/13,2.0278
6/5/13,2.1277,,,,,8/12/13,7.9214,6/4/13,87.27,6/5/13,2.0278,6/5/13,2.0255
6/4/13,2.1251,,,,,8/9/13,7.8999,6/3/13,87.59,6/4/13,2.0273,6/4/13,2.0231
6/3/13,2.1241,,,,,8/8/13,7.8265,5/31/13,88.49,6/3/13,2.0268,6/3/13,2.0208
5/31/13,2.1411,,,,,8/7/13,8.269,5/30/13,88.85,5/31/13,2.0262,5/31/13,2.0181
5/29/13,2.1106,,,,,8/6/13,8.0583,5/29/13,89.51,5/29/13,2.0256,5/29/13,2.0149
5/28/13,2.0749,,,,,8/5/13,8.2938,5/28/13,91.07,5/28/13,2.0251,5/28/13,2.0124
5/27/13,2.0571,,,,,8/2/13,8.0462,5/24/13,91.5,5/27/13,2.0249,5/27/13,2.0106
5/24/13,2.0515,,,,,8/1/13,7.9864,5/23/13,91.31,5/24/13,2.0248,5/24/13,2.0088
5/23/13,2.044,,,,,7/31/13,8.022,5/22/13,91.87,5/23/13,2.0247,5/23/13,2.0073
5/22/13,2.0496,,,,,7/30/13,8.2081,5/21/13,91.99,5/22/13,2.0247,5/22/13,2.0057
5/21/13,2.0404,,,,,7/29/13,7.9832,5/20/13,92.09,5/21/13,2.0247,5/21/13,2.0038
5/20/13,2.0388,,,,,7/26/13,8.1209,5/17/13,92.07,5/20/13,2.0248,5/20/13,2.0019
5/17/13,2.0352,,,,,7/25/13,7.6395,5/16/13,92.46,5/17/13,2.0248,5/17/13,2.0003
5/16/13,2.0265,,,,,7/24/13,7.6595,5/15/13,92.34,5/16/13,2.0247,5/16/13,1.999
5/15/13,2.0229,,,,,7/23/13,7.8158,5/14/13,93.07,5/15/13,2.0247,5/15/13,1.9977
5/14/13,2.0208,,,,,7/22/13,7.8858,5/13/13,92.63,5/14/13,2.0247,5/14/13,1.9967
5/13/13,2.008,,,,,7/19/13,7.9255,5/10/13,91.92,5/13/13,2.0249,5/13/13,1.9959
5/10/13,2.0204,,,,,7/18/13,7.7661,5/9/13,92.65,5/10/13,2.025,5/10/13,1.9953
5/9/13,2.0134,,,,,7/17/13,7.8253,5/8/13,92.42,5/9/13,2.025,5/9/13,1.9943
5/8/13,2.0054,,,,,7/16/13,8.0866,5/7/13,92.4,5/8/13,2.025,5/8/13,1.9937
5/7/13,2.0078,,,,,7/15/13,8.0207,5/6/13,92.23,5/7/13,2.0251,5/7/13,1.9932
5/6/13,2.0096,,,,,7/12/13,7.8236,5/3/13,92.23,5/6/13,2.0252,5/6/13,1.9925
5/3/13,2.0089,,,,,7/11/13,7.4771,5/2/13,92.15,5/3/13,2.0253,5/3/13,1.9918
5/2/13,2.0092,,,,,7/10/13,7.6619,5/1/13,92.15,5/2/13,2.0254,5/2/13,1.9909
4/30/13,2.0013,,,,,7/9/13,7.9821,4/30/13,92.51,4/30/13,2.0256,4/30/13,1.9898
4/29/13,2.0073,,,,,7/8/13,7.7429,4/29/13,92.57,4/29/13,2.0258,4/29/13,1.989
4/26/13,1.9988,,,,,7/5/13,7.8675,4/26/13,92.77,4/26/13,2.0259,4/26/13,1.9883
4/25/13,2.0013,,,,,7/4/13,7.5916,4/25/13,92.44,4/25/13,2.0261,4/25/13,1.9874
4/24/13,2.0103,,,,,7/3/13,7.8264,4/24/13,92.07,4/24/13,2.0262,4/24/13,1.9867
4/23/13,2.0226,,,,,7/2/13,7.8024,4/23/13,92.19,4/23/13,2.0262,4/23/13,1.986
4/22/13,2.0211,,,,,7/1/13,7.8726,4/22/13,92.42,4/22/13,2.0263,4/22/13,1.9849
4/19/13,2.0111,,,,,6/28/13,7.8699,4/19/13,92.58,4/19/13,2.0262,4/19/13,1.9843
4/18/13,2.019,,,,,6/27/13,7.5584,4/18/13,91.88,4/18/13,2.0261,4/18/13,1.9837
4/17/13,2.0006,,,,,6/26/13,7.4136,4/17/13,92.75,4/17/13,2.0261,4/17/13,1.9833
4/16/13,1.9872,,,,,6/25/13,7.1519,4/16/13,92.77,4/16/13,2.0265,4/16/13,1.983
4/15/13,2.0013,,,,,6/24/13,7.0488,4/15/13,93.76,4/15/13,2.0269,4/15/13,1.9831
4/12/13,1.9695,,,,,6/21/13,7.0389,4/12/13,93.99,4/12/13,2.0273,4/12/13,1.9828
4/11/13,1.9756,,,,,6/20/13,6.8736,4/11/13,93.91,4/11/13,2.0277,4/11/13,1.9832
4/10/13,1.9728,,,,,6/19/13,7.2585,4/10/13,93.81,4/10/13,2.0282,4/10/13,1.9836
4/9/13,1.9812,,,,,6/18/13,7.4123,4/9/13,93.39,4/9/13,2.0286,4/9/13,1.9847
4/8/13,1.9918,,,,,6/17/13,7.5673,4/8/13,93.29,4/8/13,2.0289,4/8/13,1.9857
4/5/13,1.9853,,,,,6/14/13,7.6114,4/5/13,93.19,4/5/13,2.029,4/5/13,1.9866
4/4/13,2.015,,,,,6/13/13,7.1719,4/4/13,92.14,4/4/13,2.0294,4/4/13,1.9877
4/3/13,2.0243,,,,,6/12/13,7.4206,4/3/13,91.83,4/3/13,2.0296,4/3/13,1.9883
4/2/13,2.0194,,,,,6/11/13,7.4925,4/2/13,92.05,4/2/13,2.0297,4/2/13,1.9886
4/1/13,2.0208,,,,,6/10/13,7.3617,4/1/13,91.97,4/1/13,2.03,4/1/13,1.989
3/28/13,2.0217,,,,,6/7/13,7.4978,3/29/13,91.79,3/28/13,2.0303,3/28/13,1.9894
3/27/13,2.011,,,,,6/6/13,7.5254,3/28/13,92.09,3/27/13,2.0305,3/27/13,1.9897
3/26/13,2.0173,,,,,6/5/13,7.6011,3/27/13,92.38,3/26/13,2.0305,3/26/13,1.9901
3/25/13,2.0128,,,,,6/4/13,7.4732,3/26/13,92.5,3/25/13,2.0306,3/25/13,1.9904
3/22/13,2.0094,,,,,6/3/13,7.9061,3/25/13,92.24,3/22/13,2.0307,3/22/13,1.9908
3/21/13,2.0082,,,,,5/31/13,7.1221,3/22/13,91.82,3/21/13,2.0309,3/21/13,1.9914
3/20/13,1.9899,,,,,5/30/13,6.6961,3/21/13,92.92,3/20/13,2.0311,3/20/13,1.9921
3/19/13,1.9843,,,,,5/29/13,6.6344,3/20/13,93.3,3/19/13,2.0312,3/19/13,1.9928
3/18/13,1.9827,,,,,5/28/13,6.7738,3/19/13,93.33,3/18/13,2.0314,3/18/13,1.9938
3/15/13,1.9831,,,,,5/27/13,6.5731,3/18/13,93.07,3/15/13,2.0314,3/15/13,1.995
3/14/13,1.9717,,,,,5/24/13,6.8119,3/15/13,93.39,3/14/13,2.0314,3/14/13,1.9963
3/13/13,1.9721,,,,,5/23/13,6.444,3/14/13,94.02,3/13/13,2.0315,3/13/13,1.9979
3/12/13,1.9647,,,,,5/22/13,6.1541,3/13/13,94.4,3/12/13,2.0318,3/12/13,1.9994
3/11/13,1.9569,,,,,5/21/13,6.3342,3/12/13,94.08,3/11/13,2.0321,3/11/13,2.001
3/8/13,1.9442,,,,,5/20/13,6.3132,3/11/13,94.34,3/8/13,2.0328,3/8/13,2.0028
3/7/13,1.9584,,,,,5/17/13,6.209,3/8/13,94.81,3/7/13,2.0333,3/7/13,2.0055
3/6/13,1.9704,,,,,5/16/13,5.9708,3/7/13,94.03,3/6/13,2.0336,3/6/13,2.0079
3/5/13,1.9642,,,,,5/15/13,5.8696,3/6/13,93.86,3/5/13,2.0338,3/5/13,2.0099
3/4/13,1.9703,,,,,5/14/13,5.9576,3/5/13,93.88,3/4/13,2.034,3/4/13,2.0121
3/1/13,1.9797,,,,,5/13/13,5.8976,3/4/13,93.23,3/1/13,2.0342,3/1/13,2.0144
2/28/13,1.9785,,,,,5/10/13,5.6863,3/1/13,93.09,2/28/13,2.0342,2/28/13,2.0168
2/27/13,1.9728,,,,,5/9/13,5.4853,2/28/13,93.07,2/27/13,2.0342,2/27/13,2.019
2/26/13,1.9823,,,,,5/8/13,5.518,2/27/13,92.99,2/26/13,2.0341,2/26/13,2.0213
2/25/13,1.982,,,,,5/7/13,5.5998,2/26/13,92.51,2/25/13,2.034,2/25/13,2.0231
2/22/13,1.9727,,,,,5/6/13,5.6108,2/25/13,93.15,2/22/13,2.0338,2/22/13,2.025
2/21/13,1.9728,,,,,5/3/13,5.6458,2/22/13,93.24,2/21/13,2.0335,2/21/13,2.0271
2/20/13,1.962,,,,,5/2/13,5.4415,2/21/13,92.95,2/20/13,2.0333,2/20/13,2.0291
2/19/13,1.9557,,,,,5/1/13,5.3751,2/20/13,93.26,2/19/13,2.033,2/19/13,2.0314
2/18/13,1.9633,,,,,4/30/13,5.5151,2/19/13,93.41,2/18/13,2.0329,2/18/13,2.0341
2/15/13,1.9688,,,,,4/29/13,5.7173,2/15/13,93.08,2/15/13,2.0326,2/15/13,2.0372
2/14/13,1.9582,,,,,4/26/13,5.2679,2/14/13,93.23,2/14/13,2.0322,2/14/13,2.0403
2/13/13,1.9651,,,,,4/25/13,5.0569,2/13/13,92.67,2/13/13,2.0318,2/13/13,2.0439
2/8/13,1.9727,,,,,4/24/13,5.0305,2/12/13,92.58,2/8/13,2.0314,2/8/13,2.0465
2/7/13,1.9667,,,,,4/23/13,4.984,2/11/13,92.52,2/7/13,2.0309,2/7/13,2.0489
2/6/13,1.9911,,,,,4/22/13,5.0631,2/8/13,92.25,2/6/13,2.0305,2/6/13,2.0513
2/5/13,1.9846,,,,,4/19/13,5.0566,2/7/13,92.33,2/5/13,2.0299,2/5/13,2.0531
2/4/13,1.9954,,,,,4/18/13,4.9684,2/6/13,91.4,2/4/13,2.0294,2/4/13,2.055
2/1/13,1.988,,,,,4/17/13,5.2307,2/5/13,91.29,2/1/13,2.0288,2/1/13,2.0572
1/31/13,1.9915,,,,,4/16/13,5.1595,2/4/13,91.14,1/31/13,2.0282,1/31/13,2.0594
1/30/13,1.9887,,,,,4/15/13,5.2563,2/1/13,91.32,1/30/13,2.0275,1/30/13,2.0612
1/29/13,1.9859,,,,,4/12/13,4.7793,1/31/13,91.13,1/29/13,2.0267,1/29/13,2.0631
1/28/13,1.9955,,,,,4/11/13,4.7526,1/30/13,91.12,1/28/13,2.0259,1/28/13,2.0651
1/25/13,2.03,,,,,4/10/13,4.9539,1/29/13,91.21,1/25/13,2.0251,1/25/13,2.0665
1/24/13,2.031,,,,,4/9/13,5.0393,1/28/13,90.69,1/24/13,2.0241,1/24/13,2.067
1/23/13,2.036,,,,,4/8/13,5.177,1/25/13,89.44,1/23/13,2.0231,1/23/13,2.0674
1/22/13,2.0428,,,,,4/5/13,5.0803,1/24/13,89.39,1/22/13,2.022,1/22/13,2.0677
1/21/13,2.0411,,,,,4/4/13,4.9375,1/23/13,89.1,1/21/13,2.0209,1/21/13,2.0676
1/18/13,2.0414,,,,,4/3/13,4.975,1/22/13,88.61,1/18/13,2.0198,1/18/13,2.0675
1/17/13,2.0388,,,,,4/2/13,4.9562,1/18/13,88.84,1/17/13,2.0188,1/17/13,2.0673
1/16/13,2.0424,,,,,4/1/13,4.8539,1/17/13,88.76,1/16/13,2.0177,1/16/13,2.0672
1/15/13,2.0358,,,,,3/29/13,4.6136,1/16/13,88.85,1/15/13,2.0166,1/15/13,2.067
1/14/13,2.0316,,,,,3/28/13,4.6713,1/15/13,89.03,1/14/13,2.0156,1/14/13,2.0669
1/11/13,2.0339,,,,,3/27/13,4.6211,1/14/13,89.18,1/11/13,2.0145,1/11/13,2.0669
1/10/13,2.029,,,,,3/26/13,4.683,1/11/13,88.9,1/10/13,2.0135,1/10/13,2.0668
1/9/13,2.0408,,,,,3/25/13,4.5742,1/10/13,89.24,1/9/13,2.0124,1/9/13,2.0668
1/8/13,2.0415,,,,,3/22/13,4.6118,1/9/13,89.32,1/8/13,2.0112,1/8/13,2.0665
1/7/13,2.0276,,,,,3/21/13,4.4396,1/8/13,89.23,1/7/13,2.0101,1/7/13,2.0662
1/4/13,2.0325,,,,,3/20/13,4.4034,1/7/13,89.69,1/4/13,2.0091,1/4/13,2.0662
1/3/13,2.0457,,,,,3/19/13,4.4328,1/4/13,89.41,1/3/13,2.008,1/3/13,2.066
1/2/13,2.0457,,,,,3/18/13,4.4712,1/3/13,89.08,1/2/13,2.0068,1/2/13,2.0657
12/31/12,2.0516,,,,,3/15/13,4.4274,1/2/13,88.59,12/31/12,2.0055,12/31/12,2.0653
12/28/12,2.0475,,,,,3/14/13,4.264,12/31/12,88.48,12/28/12,2.0043,12/28/12,2.0649
12/27/12,2.0434,,,,,3/13/13,4.4426,12/28/12,88.49,12/27/12,2.003,12/27/12,2.0646
12/26/12,2.0491,,,,,3/12/13,4.7277,12/27/12,88.21,12/26/12,2.0018,12/26/12,2.0644
12/24/12,2.08,,,,,3/11/13,4.7084,12/26/12,88.16,12/24/12,2.0005,12/24/12,2.0643
12/21/12,2.0791,,,,,3/8/13,4.6883,12/24/12,87.03,12/21/12,1.9989,12/21/12,2.0635
12/20/12,2.0693,,,,,3/7/13,4.6504,12/21/12,86.97,12/20/12,1.9973,12/20/12,2.0627
12/19/12,2.0718,,,,,3/6/13,4.6178,12/20/12,87.69,12/19/12,1.9958,12/19/12,2.0619
12/18/12,2.089,,,,,3/5/13,4.7914,12/19/12,86.97,12/18/12,1.9941,12/18/12,2.0611
12/17/12,2.0996,,,,,3/4/13,4.604,12/18/12,86.34,12/17/12,1.9923,12/17/12,2.0597
12/14/12,2.086,,,,,3/1/13,4.7777,12/17/12,86.12,12/14/12,1.9904,12/14/12,2.0581
12/13/12,2.0856,,,,,2/28/13,4.6625,12/14/12,86.58,12/13/12,1.9886,12/13/12,2.0569
12/12/12,2.0722,,,,,2/27/13,4.7318,12/13/12,86.79,12/12/12,1.9866,12/12/12,2.0557
12/11/12,2.0787,,,,,2/26/13,4.5249,12/12/12,86.91,12/11/12,1.9848,12/11/12,2.0548
12/10/12,2.0773,,,,,2/25/13,4.4233,12/11/12,86.93,12/10/12,1.9829,12/10/12,2.0538
12/7/12,2.0751,,,,,2/22/13,4.4661,12/10/12,86.9,12/7/12,1.9811,12/7/12,2.053
12/6/12,2.0774,,,,,2/21/13,4.4184,12/7/12,86.86,12/6/12,1.9793,12/6/12,2.0521
12/5/12,2.0879,,,,,2/20/13,4.4216,12/6/12,86.97,12/5/12,1.9775,12/5/12,2.0511
12/4/12,2.1198,,,,,2/19/13,4.7267,12/5/12,85.9,12/4/12,1.9756,12/4/12,2.0498
12/3/12,2.1235,,,,,2/18/13,4.5315,12/4/12,85.33,12/3/12,1.9737,12/3/12,2.0478
11/30/12,2.136,,,,,2/15/13,4.5528,12/3/12,85.19,11/30/12,1.9717,11/30/12,2.0458
11/29/12,2.0987,,,,,2/14/13,4.9908,11/30/12,85.27,11/29/12,1.9696,11/29/12,2.0436
11/28/12,2.0935,,,,,2/13/13,5.0808,11/29/12,86.2,11/28/12,1.9677,11/28/12,2.0423
11/27/12,2.0838,,,,,2/12/13,5.0343,11/28/12,86.78,11/27/12,1.9658,11/27/12,2.0406
11/26/12,2.0814,,,,,2/11/13,5.0053,11/27/12,87.19,11/26/12,1.964,11/26/12,2.0394
11/23/12,2.0815,,,,,2/8/13,4.9244,11/26/12,86.78,11/23/12,1.9622,11/23/12,2.0383
11/22/12,2.1045,,,,,2/7/13,4.9179,11/23/12,86.64,11/22/12,1.9604,11/22/12,2.037
11/21/12,2.0985,,,,,2/6/13,4.899,11/21/12,86.54,11/21/12,1.9585,11/21/12,2.0353
11/20/12,2.0806,,,,,2/5/13,4.9896,11/20/12,87.14,11/20/12,1.9566,11/20/12,2.0339
11/19/12,2.0823,,,,,2/4/13,4.645,11/19/12,87.51,11/19/12,1.9549,11/19/12,2.0331
11/16/12,2.0851,,,,,2/1/13,4.805,11/16/12,87.59,11/16/12,1.9532,11/16/12,2.0323
11/14/12,2.0666,,,,,1/31/13,4.945,11/15/12,87.86,11/14/12,1.9515,11/14/12,2.0313
11/13/12,2.0584,,,,,1/30/13,4.855,11/14/12,87.78,11/13/12,1.9499,11/13/12,2.0306
11/12/12,2.051,,,,,1/29/13,4.775,11/13/12,87.91,11/12/12,1.9483,11/12/12,2.0304
11/9/12,2.0462,,,,,1/28/13,4.835,11/9/12,88.54,11/9/12,1.9469,11/9/12,2.0303
11/8/12,2.0405,,,,,1/25/13,5.185,11/8/12,88.77,11/8/12,1.9454,11/8/12,2.0303
11/7/12,2.0339,,,,,1/24/13,4.945,11/7/12,88.92,11/7/12,1.944,11/7/12,2.0301
11/6/12,2.0321,,,,,1/23/13,5.06,11/6/12,88.83,11/6/12,1.9426,11/6/12,2.03
11/5/12,2.0352,,,,,1/22/13,5.14,11/5/12,88.86,11/5/12,1.9413,11/5/12,2.0298
11/1/12,2.0314,,,,,1/21/13,5.28,11/2/12,88.86,11/1/12,1.9399,11/1/12,2.0294
10/31/12,2.0308,,,,,1/18/13,5.34,11/1/12,88.61,10/31/12,1.9387,10/31/12,2.0291
10/30/12,2.0307,,,,,1/17/13,5.305,10/29/12,88.72,10/30/12,1.9375,10/30/12,2.0289
10/29/12,2.0329,,,,,1/16/13,5.405,10/26/12,88.75,10/29/12,1.9363,10/29/12,2.0286
10/26/12,2.027,,,,,1/15/13,5.395,10/25/12,88.73,10/26/12,1.935,10/26/12,2.0282
10/25/12,2.0259,,,,,1/14/13,5.39,10/24/12,88.67,10/25/12,1.9339,10/25/12,2.0282
10/24/12,2.0259,,,,,1/11/13,5.415,10/23/12,88.53,10/24/12,1.9327,10/24/12,2.0282
10/23/12,2.0272,,,,,1/10/13,5.435,10/22/12,88.41,10/23/12,1.9318,10/23/12,2.0281
10/22/12,2.0242,,,,,1/9/13,5.365,10/19/12,88.31,10/22/12,1.9309,10/22/12,2.0278
10/19/12,2.0273,,,,,1/8/13,5.425,10/18/12,87.97,10/19/12,1.93,10/19/12,2.0276
10/18/12,2.0271,,,,,1/7/13,5.415,10/17/12,87.69,10/18/12,1.929,10/18/12,2.0275
10/17/12,2.0311,,,,,1/4/13,5.365,10/16/12,87.86,10/17/12,1.9281,10/17/12,2.0275
10/16/12,2.0337,,,,,1/3/13,5.295,10/15/12,87.88,10/16/12,1.9273,10/16/12,2.0275
10/15/12,2.0357,,,,,1/2/13,5.325,10/12/12,87.54,10/15/12,1.9264,10/15/12,2.0274
10/11/12,2.0426,,,,,1/1/13,5.105,10/11/12,87.92,10/11/12,1.9256,10/11/12,2.0277
10/10/12,2.0417,,,,,12/31/12,5.105,10/10/12,87.91,10/10/12,1.9247,10/10/12,2.0277
10/9/12,2.0355,,,,,12/28/12,5.115,10/9/12,88.1,10/9/12,1.9238,10/9/12,2.028
10/8/12,2.0297,,,,,12/27/12,5.62,10/5/12,87.97,10/8/12,1.9229,10/8/12,2.0282
10/5/12,2.0306,,,,,12/26/12,5.585,10/4/12,88.31,10/5/12,1.9221,10/5/12,2.028
10/4/12,2.0189,,,,,12/25/12,5.15,10/3/12,88.46,10/4/12,1.9212,10/4/12,2.0278
10/3/12,2.023,,,,,12/24/12,5.15,10/2/12,88.24,10/3/12,1.9204,10/3/12,2.0281
10/2/12,2.0259,,,,,12/21/12,5.45,10/1/12,88.35,10/2/12,1.9195,10/2/12,2.0286
10/1/12,2.0268,,,,,12/20/12,5.56,9/28/12,88.35,10/1/12,1.9187,10/1/12,2.0288
9/28/12,2.0264,,,,,12/19/12,5.63,9/27/12,88.14,9/28/12,1.9179,9/28/12,2.0288
9/27/12,2.0296,,,,,12/18/12,5.66,9/26/12,88.17,9/27/12,1.917,9/27/12,2.0285
9/26/12,2.0356,,,,,12/17/12,5.215,9/25/12,88.31,9/26/12,1.9163,9/26/12,2.0284
9/25/12,2.0307,,,,,12/14/12,5.27,9/24/12,88.45,9/25/12,1.9154,9/25/12,2.0281
9/24/12,2.0256,,,,,12/13/12,5.335,9/21/12,88.28,9/24/12,1.9145,9/24/12,2.0282
9/21/12,2.0231,,,,,12/12/12,5.31,9/20/12,88.41,9/21/12,1.9134,9/21/12,2.0284
9/20/12,2.0214,,,,,12/11/12,5.475,9/19/12,88.22,9/20/12,1.9124,9/20/12,2.0287
9/19/12,2.0246,,,,,12/10/12,5.455,9/18/12,88.12,9/19/12,1.9112,9/19/12,2.029
9/18/12,2.0234,,,,,12/7/12,5.505,9/17/12,87.7,9/18/12,1.9101,9/18/12,2.0292
9/17/12,2.032,,,,,12/6/12,5.705,9/14/12,88.14,9/17/12,1.9089,9/17/12,2.0294
9/14/12,2.0121,,,,,12/5/12,5.505,9/13/12,88.46,9/14/12,1.9077,9/14/12,2.0293
9/13/12,2.0205,,,,,12/4/12,5.505,9/12/12,88.76,9/13/12,1.9066,9/13/12,2.0294
9/12/12,2.026,,,,,12/3/12,5.545,9/11/12,88.81,9/12/12,1.9056,9/12/12,2.0296
9/11/12,2.0171,,,,,11/30/12,5.645,9/10/12,88.9,9/11/12,1.9047,9/11/12,2.0294
9/10/12,2.0227,,,,,11/29/12,5.105,9/7/12,88.7,9/10/12,1.9039,9/10/12,2.0288
9/6/12,2.029,,,,,11/28/12,5.485,9/6/12,88.83,9/6/12,1.9032,9/6/12,2.0285
9/5/12,2.0391,,,,,11/27/12,5.065,9/5/12,88.75,9/5/12,1.9025,9/5/12,2.0295
9/4/12,2.0423,,,,,11/26/12,5.115,9/4/12,88.65,9/4/12,1.9017,9/4/12,2.0302
9/3/12,2.0329,,,,,11/23/12,5.085,8/31/12,89.12,9/3/12,1.9006,9/3/12,2.0309
8/31/12,2.0308,,,,,11/22/12,5.13,8/30/12,88.62,8/31/12,1.8994,8/31/12,2.0314
8/30/12,2.0484,,,,,11/21/12,5.14,8/29/12,88.43,8/30/12,1.8982,8/30/12,2.0322
8/29/12,2.0499,,,,,11/20/12,5.17,8/28/12,88.31,8/29/12,1.8969,8/29/12,2.0324
8/28/12,2.0428,,,,,11/19/12,5.12,8/27/12,89.26,8/28/12,1.8955,8/28/12,2.0319
