Dates,BRL_FX_Spot,50d_200d_cross,CA,TB,rate,REER_discount,budget
4/2/03,3.26,1,-0.62,1544,19.9759,-0.073763835,-5.14
4/3/03,3.257,1,-0.62,1544,20.6412,-0.060790491,-5.14
4/4/03,3.22,1,-0.62,1544,20.4266,-0.056994702,-5.14
4/7/03,3.1525,1,-0.62,1544,21.119,-0.036417901,-5.14
4/8/03,3.1825,1,-0.62,1544,20.79,-0.036790658,-5.14
4/9/03,3.193,1,-0.62,1544,20.79,-0.039071256,-5.14
4/10/03,3.2475,1,-0.62,1544,19.4,-0.053137492,-5.14
4/11/03,3.204,1,-0.62,1544,19.4,-0.053354239,-5.14
4/14/03,3.1615,1,-0.62,1544,20.723,-0.038858821,-5.14
4/15/03,3.0825,1,-0.62,1544,20.41,-0.018515235,-5.14
4/16/03,3.0925,1,-0.62,1544,21.2845,-0.005330568,-5.14
4/17/03,3.0325,0,-0.62,1544,20.79,0.005415253,-5.14
4/18/03,3.0325,0,-0.62,1544,20.79,0.003339406,-5.14
4/21/03,3.035,0,-0.62,1544,22.3329,0.00491648,-5.14
4/22/03,3.0425,0,-0.62,1544,21.69,-0.004626906,-5.14
4/23/03,3,0,-0.62,1544,23.1313,0.012396999,-5.14
4/24/03,3.0105,0,-0.62,1544,22.79,0.011497971,-5.14
4/25/03,3.009,0,-0.62,1544,22.79,0.008340523,-5.14
4/28/03,2.958,0,-0.62,1544,22.42,0.017340557,-5.14
4/29/03,2.9105,0,-0.62,1544,22.42,0.045920675,-5.14
4/30/03,2.9105,0,-0.62,1731,22.42,0.047746681,-5.14
5/1/03,2.9105,0,-0.62,1731,22.42,0.035672298,-5.14
5/2/03,2.968,0,-0.62,1731,24.09,0.038544243,-5.14
5/5/03,3.0375,0,-0.62,1731,24.09,0.006519429,-5.14
5/6/03,3.022,0,-0.62,1731,23.18,0.001642184,-5.14
5/7/03,2.9475,0,-0.62,1731,23.37,0.014964841,-5.14
5/8/03,2.9125,0,-0.62,1731,23.37,0.032787107,-5.14
5/9/03,2.8725,0,-0.62,1731,23.54,0.043101829,-5.14
5/12/03,2.864,0,-0.62,1731,23.09,0.041955724,-5.14
